UNITID,F2D01__last,F2D16__last,F2A02__last,F2A03__last,total_expenses__last,change_in_net_assets__last,expendable_net_assets__last,endowment_eoy__last,operating_margin__last,expenses_to_revenue__last,assets_to_liabilities__last,operating_margin__mean3,expenses_to_revenue__mean3,assets_to_liabilities__mean3,reported_field_count__mean3,F2D16__slope,total_expenses__slope,expendable_net_assets__slope,F2D16__pct3,total_expenses__pct3,expendable_net_assets__pct3,log_F2D16,log_F2A02,log_F2A03,log_total_expenses,log_expendable_net_assets,log_endowment_eoy,tuition_dependence,total_enrollment__last,undergrad_enrollment__last,total_enrollment__slope,total_enrollment__pct3,undergrad_share__last,endowment_per_student,revenue_per_student,tuition_per_student,log_total_enrollment,closed_by_2024,as_of_year
104188,3871209,3932392,2772415.0,382510.0,3800728.0,117101.0,2389905.0,,0.0297785673452697,0.9665180887358128,7.247954301848318,0.0297785673452697,0.9665180887358128,7.247954301848318,8.0,,,,,,,15.184758704389912,14.835229700182303,12.854512690005151,15.150703448402536,14.686764592590292,,0.9844412764546364,127.0,125.0,-13.999999999999085,-0.18064516129032257,0.984251968503937,,30963.716535433072,30481.96062992126,4.852030263919617,1,2019
104586,109016000,144103000,,,,,,88191000.0,,,,,,,8.0,8109190.909090957,,,1.3933399767480483,,,18.786038886568303,,,,,18.2950154862932,0.7565144375897795,2928.0,2858.0,155.9999999999904,0.11926605504587157,0.9760928961748634,30119.877049180326,49215.50546448088,37232.24043715847,7.982416346827733,0,2019
104665,301441,796794,,,,,,27345.0,,,,,,,8.0,-35245.199999994365,,,-0.0653146785880608,,,13.588352710132437,,,,,10.216325544869028,0.3783173568074057,24.0,,1.499999999999687,0.14285714285714285,,1139.375,33199.75,12560.041666666666,3.2188758248682006,0,2019
105589,13116372,19543004,32723699.0,10226824.0,18525375.0,1017629.0,3217568.0,2759573.0,0.0520712680609388,0.9479287319390612,3.199790961494986,0.0497169861729964,0.9499466488188972,2.357126331103948,8.0,558682.5363636359,402056.9272727286,-974191.8181818096,0.0953561013558693,0.0705186180655851,-0.7057581658499399,16.788127979858263,17.30361014399028,16.140524728074325,16.73465202583653,14.984136663443918,14.830586877954394,0.6711543424951456,1063.0,558.0,95.99999999999523,0.22043628013777267,0.5249294449670743,2596.0235183443087,18384.76387582314,12339.014111006585,6.96979066990159,0,2019
105899,16483840,33668700,65598503.0,44338599.0,32342481.0,1326219.0,-691742.0,727690.0,0.0393902645483787,0.9606097354516212,1.47948975564158,0.0020994643249757,0.9979005356750242,1.8204493258142591,8.0,1934707.8727273128,2168980.863636364,-543122.7909090684,1.8243383310477148,1.6138016404428348,-1.0741014816932677,17.332079210054438,17.999063448776234,17.607366187454595,17.29189215623079,-13.446969778335232,13.49763178652474,0.4895894406377437,857.0,857.0,-34.499999999996724,-0.07451403887688984,1.0,849.1131855309218,39286.69778296383,19234.352392065342,6.754604099487962,0,2019
106306,894002,15062266,34791391.0,3644051.0,14831308.0,-3357806.0,29139200.0,,-0.2229283429199829,0.9846664505858548,9.547448979171806,0.0804373676015059,1.1143333990016409,3.602913818391926,7.818181818181818,81168.26363636008,-198924.1363636469,2738594.2818181906,0.0962045515629518,-0.1284534557034252,2.2095479292615603,16.527703300215837,17.36488055782524,15.108606807293102,16.51225097724511,17.187594939000576,,0.0593537519520635,812.0,812.0,-141.99999999999056,-0.2591240875912409,1.0,,18549.58866995074,1100.987684729064,6.70073110954781,0,2019
106342,5514140,15490713,123712110.0,98823621.0,41061680.0,33731598.0,-40971842.0,97328611.0,2.1775368248059337,2.6507288592849148,1.251847571948411,0.2184602405425866,1.3017165088187015,2.686353747808405,8.0,-299452.29090916173,1659073.2272727452,-1537732.4363637718,-0.227107943602532,1.2727696910609858,-8.74104359766823,16.5557513055851,18.633467738794952,18.408847223209687,17.530585908804717,-17.52839563264603,18.39360356353864,0.35596424773992,692.0,692.0,-6.499999999999669,-0.018439716312056736,1.0,140648.2817919075,22385.423410404623,7968.410404624277,6.541029999189903,0,2019
106546,4316511,5245317,,,,,,9429172.0,,,,,,,8.0,65276.55454545249,,,0.0446587010528806,,,15.4728464271453,,,,,16.05931895193036,0.8229266219753735,894.0,894.0,-15.999999999999893,-0.03455723542116631,1.0,10547.17225950783,5867.244966442953,4828.312080536913,6.796823718274855,0,2019
106713,4683363,11216320,25375557.0,10057899.0,10559350.0,656970.0,15317658.0,4456572.0,0.0585726869418846,0.9414273130581152,2.522948082894847,-0.0414213639586946,1.0414309136873114,2.529341964524333,8.0,-230220.1454545313,1346.5090909086457,-401903.5545454584,-0.2889729159405619,0.0918534857500213,-0.2397542085070514,16.232880507675784,17.04929698523223,16.123868953330163,16.172522376020414,16.54451690381206,15.30989064298646,0.4175489821973695,849.0,849.0,-51.499999999996284,-0.10819327731092437,1.0,5249.201413427561,13211.213191990577,5516.328621908127,6.745236349484362,0,2019
106810,1653484,5265920,6321857.0,2451579.0,4538839.0,727081.0,-588591.0,1691754.0,0.1380729293266893,0.8619270706733106,2.5786878579070875,0.01550343402721,0.9845087539869614,4.701825562155135,8.0,223690.1363636361,213028.15454545492,-321828.9090909088,0.919018100850197,0.8988352226138003,-1.3069605383312797,15.476766617026888,15.659523710259002,14.712243272622764,15.328182030762228,-13.28548852311592,14.341277009609536,0.3139971742829363,207.0,207.0,-20.49999999999899,-0.16532258064516128,1.0,8172.724637681159,25439.227053140097,7987.84541062802,5.337538079701318,0,2019
107044,63715177,133164705,482491851.0,76967301.0,134718822.0,-1554117.0,83142163.0,217276124.0,-0.0116706375011306,1.0116706375011306,6.268790054103625,0.0893699948619339,0.910630005138066,5.619561276246099,8.0,46895.26363640785,925804.5545454738,-12557323.727272516,-0.0016161311420396,0.1440131443775979,-0.5183593745021661,18.707097310989848,19.99447459155409,18.15889124027824,18.71870037178117,18.236062519835887,19.1966795680445,0.4784689531659308,5717.0,4323.0,-420.99999999998346,-0.12837322762616252,0.7561658212349134,38005.26919713136,23292.759314325696,11144.8621654714,8.651374372882257,0,2019
107080,11257983,70600481,355041104.0,97430981.0,52898174.0,17702307.0,84640664.0,219105629.0,0.2507391840574004,0.7492608159425996,3.64402678035234,-0.0518914332803665,1.0486617257807216,3.1875599369045475,8.0,-933853.2636363189,-878130.9636363456,-7721855.018181711,0.0710407054135505,-0.0951414156335812,-0.4413081413775291,18.07254752963563,19.687744129469085,18.39465480838183,17.783879397178602,18.25392538284869,19.20506450026477,0.1594604291718635,1226.0,1219.0,-67.50000000000502,-0.09919177075679647,0.9942903752039152,178715.84747145188,57586.03670473083,9182.694127243067,7.112327444710911,0,2019
107123,789380,1156199,,,,,,,,,,,,,8.0,24914.709090909462,,,0.3316322240995465,,,13.960649323630513,,,,,,0.6827371412706636,122.0,122.0,8.499999999999117,0.1619047619047619,1.0,,9477.040983606557,6470.327868852459,4.812184355372417,0,2019
107141,20549104,73311097,314168365.0,8453037.0,53113484.0,20197613.0,104117299.0,188646910.0,0.2755055349942451,0.7244944650057549,37.166330278691554,0.1403859640470956,0.8596140359529042,21.05278126453279,8.0,1255360.3272727395,148552.98181818772,-4759306.627272593,0.155697088364781,0.1066688583287371,-0.1672939463122757,18.110222560580446,19.56543959762227,15.950036461346365,17.787941408773364,18.461028706137043,19.055387630002528,0.2803000478904305,2830.0,2078.0,-144.49999999999315,-0.09265790317409427,0.7342756183745583,66659.68551236749,25904.981272084806,7261.1674911660775,7.9483852851118995,0,2019
107512,20778398,62933092,226598867.0,52618536.0,55273022.0,7660070.0,12538145.0,140325456.0,0.1217176807394113,0.8782823192605886,4.306445679142422,0.0876193677529335,0.9123806322470664,3.210678903130339,8.0,1323951.409090944,1301371.600000006,-2893086.75454541,0.2566971448177348,0.3772310383943645,-0.6567145614315029,17.95758270414434,19.238691910958764,17.77857903007322,17.827795517446706,16.34428623534867,18.75947497551269,0.3301664885621701,1768.0,1768.0,59.99999999999894,0.07281553398058252,1.0,79369.60180995475,35595.64027149321,11752.487556561086,7.478169694159785,0,2019
