rank,UNITID,INSTNM,state,risk_score,driver_1,driver_2,driver_3,operating_margin,endowment_per_student,total_enrollment,enrollment_3yr_pct
79,213163,UPMC Jameson School of Nursing,PA,0.25076452599388377,tuition dependence (tuition / total revenue),revenue per student,tuition per student,,,345.0,0.1655405405405405
80,209296,National University of Natural Medicine,OR,0.25076452599388377,expendable net assets,total assets,enrollment trend (slope),-0.0091030206526573,3600.172069825436,401.0,-0.24765478424015
81,490203,Bolivar Technical College,MO,0.25076452599388377,expendable net assets,total assets,tuition per student,0.0814664944317036,,220.0,0.1111111111111111
82,207856,Southwestern Christian University,OK,0.25076452599388377,expendable net assets,total assets,assets-to-liabilities ratio,0.1343432162563271,4681.177083333333,384.0,-0.2195121951219512
83,205090,Firelands Regional Medical Center School of Nursing,OH,0.25076452599388377,total revenue,expendable net assets,endowment EOY,,,73.0,-0.0519480519480519
84,183248,St Joseph School of Nursing,NH,0.25076452599388377,expendable net assets,3-yr revenue % change,endowment EOY,,,170.0,0.1564625850340136
85,493974,College of Athens,GA,0.25076452599388377,3-yr enrollment % change,expendable net assets,total assets,0.2753858410651384,,90.0,-0.28
86,196440,Talmudical Institute of Upstate New York,NY,0.25076452599388377,expendable net assets,undergrad enrollment,tuition & fees,0.1139748318779484,,17.0,0.1333333333333333
87,198109,Cabarrus College of Health Sciences,NC,0.25076452599388377,endowment EOY,expendable net assets,total assets,,5670.355681818181,880.0,0.3946117274167987
88,499820,Diverse Media Institute,MN,0.25076452599388377,tuition dependence (tuition / total revenue),undergrad enrollment,endowment EOY,,,,
89,176770,Cox College,MO,0.25076452599388377,expendable net assets,total assets,3-yr expendable net assets % change,,,1026.0,-0.1392617449664429
90,112127,Church Divinity School of the Pacific,CA,0.25076452599388377,endowment per student,total assets,3-yr avg expenses-to-revenue,5.1784372147033055,672773.8194444445,72.0,-0.1111111111111111
91,106306,Arkansas Baptist College,AR,0.25076452599388377,total assets,3-yr enrollment % change,undergrad enrollment,-0.2229283429199829,,522.0,-0.3944315545243619
92,495059,Oak Valley College,CA,0.25076452599388377,endowment EOY,expendable net assets,total enrollment,0.1740045878377802,,69.0,0.38
93,188890,Apex Technical School,NY,0.25076452599388377,revenue trend (slope),3-yr revenue % change,endowment EOY,,,2370.0,0.2311688311688311
94,190114,Metropolitan College of New York,NY,0.25076452599388377,assets-to-liabilities ratio,endowment EOY,total assets,-0.3531548383340261,894.5695695695696,999.0,0.0214723926380368
95,115214,Graduate Theological Union,CA,0.25076452599388377,total assets,3-yr avg operating margin,3-yr avg expenses-to-revenue,-0.0687865659077761,264780.1063829788,188.0,-0.0917874396135265
96,494542,Sattler College,MA,0.25076452599388377,3-yr enrollment % change,expendable net assets,tuition & fees,0.4985995166698138,,61.0,-0.2738095238095238
97,192624,Machzikei Hadath Rabbinical College,NY,0.25076452599388377,3-yr enrollment % change,expendable net assets,total assets,0.387097330138526,,160.0,-0.4482758620689655
98,108269,Academy of Chinese Culture and Health Sciences,CA,0.25076452599388377,expendable net assets,total assets,3-yr expendable net assets % change,0.0,,137.0,0.0300751879699248
99,188687,American Academy McAllister Institute of Funeral Service,NY,0.25076452599388377,endowment EOY,expendable net assets,undergrad enrollment,0.1002008003632854,,448.0,-0.2545757071547421
100,107840,Shorter College,AR,0.25076452599388377,expendable net assets,total assets,tuition per student,0.1354685056668543,,583.0,0.4395061728395061
101,499149,Herzing University-Nashville,TN,0.25076452599388377,expendable net assets,assets-to-liabilities ratio,total assets,-3.29309461316486,,223.0,3.2884615384615383
102,106713,Central Baptist College,AR,0.25076452599388377,endowment EOY,total assets,total liabilities,0.0585726869418846,7566.336162988116,589.0,-0.1261127596439169
103,496803,NewU University,DC,0.25076452599388377,undergrad enrollment,total assets,tuition & fees,0.0117120844758305,,30.0,0.6666666666666666
104,499538,Puerto Rico Advance Institute,PR,0.25076452599388377,tuition & fees,total revenue,undergrad enrollment,,,29.0,0.3809523809523809
105,497107,University of Silicon Andhra,CA,0.25076452599388377,expendable net assets,total assets,assets-to-liabilities ratio,0.1344374107666526,,562.0,1.3319502074688796
106,446233,Ecclesia College,AR,0.25076452599388377,expendable net assets,total assets,undergrad enrollment,-0.1683371448510899,,153.0,-0.1404494382022472
107,444778,Charlotte Christian College and Theological Seminary,NC,0.25076452599388377,expendable net assets,3-yr enrollment % change,operating margin,-0.7891829941308728,,115.0,-0.2857142857142857
108,450401,Clary Sage College,OK,0.25076452599388377,tuition dependence (tuition / total revenue),expendable net assets,total assets,0.0331719452157529,,651.0,-0.1400264200792602
109,455813,Pontifical John Paul II Institute for Studies on Marriage and Family,DC,0.25076452599388377,endowment EOY,expendable net assets,total assets,-0.2346623137571495,48635.34328358209,67.0,-0.0694444444444444
110,413617,College of Menominee Nation,WI,0.25076452599388377,expendable net assets,tuition & fees,undergrad enrollment,0.2053164410111891,32015.794366197184,355.0,0.25
111,133872,AdventHealth University,FL,0.25076452599388377,tuition per student,total assets,expendable net assets,0.0240157354450209,4799.605444941081,2461.0,0.1613968853232656
112,459824,Touro University Nevada,NV,0.25076452599388377,enrollment trend (slope),endowment EOY,3-yr expendable net assets % change,,3185.465955284553,1968.0,-0.0619637750238322
113,430306,Cayce/Reilly School of Massage,VA,0.25076452599388377,3-yr enrollment % change,tuition & fees,expendable net assets,,,38.0,-0.4242424242424242
114,432348,Appalachian School of Law,VA,0.25076452599388377,endowment EOY,operating margin,total assets,-0.9098808428101084,28425.034246575346,146.0,-0.136094674556213
115,145354,Graham Hospital School of Nursing,IL,0.25076452599388377,3-yr enrollment % change,total revenue,tuition & fees,,,40.0,-0.3442622950819672
116,144971,Eureka College,IL,0.25076452599388377,expendable net assets,3-yr expendable net assets % change,total assets,-0.0438989644784573,65172.78853046595,558.0,0.0333333333333333
117,481155,Helms College,GA,0.25076452599388377,3-yr enrollment % change,expendable net assets,total assets,,,244.0,-0.2738095238095238
118,482185,Academy of Interactive Entertainment,WA,0.25076452599388377,3-yr enrollment % change,endowment EOY,expendable net assets,,,82.0,-0.5089820359281437
119,154855,Central Christian College of Kansas,KS,0.25076452599388377,undergrad enrollment,total assets,enrollment trend (slope),-0.0258676389044991,9260.273666092944,581.0,-0.1688125894134478
120,483018,Antioch College,OH,0.25076452599388377,total assets,expendable net assets,3-yr avg operating margin,-0.2322834540790846,130058.28025477708,157.0,0.0194805194805194
